Owner,Title,Web URL,Category
Mega Dang Valley Irrigation Project,	सिंचाइ नीति 2070,https://www.mdvip.gov.np/storage/assets/download/download1618127643.pdf,कार्यविधि
Mega Dang Valley Irrigation Project,योजना माग गर्दा आवश्यक पर्ने कागजातहरु,https://www.mdvip.gov.np/storage/assets/download/download1618127556.pdf,कार्यविधि
Mega Dang Valley Irrigation Project,योजना माग फारामको नमूना,https://www.mdvip.gov.np/storage/assets/download/download1618127480.pdf,कार्यविधि
Mega Dang Valley Irrigation Project,विधानको नमूना (संचाइ जल उपभोक्ता संस्थाको लागि),https://www.mdvip.gov.np/storage/assets/download/download1618127420.pdf,कार्यविधि
Mega Dang Valley Irrigation Project,उपभोक्ता संस्था मार्फत निर्माण कार्य गर्ने गराउने कार्यविधी 2069,https://www.mdvip.gov.np/storage/assets/download/download1618127217.pdf,कार्यविधि
Nepal Netra Jyoti Sangh,Social Audit Report - 2019,http://raptieyehospital.org/wp-content/uploads/2020/02/Social-Audit-Report-2019-in-nepali.pdf,Socail Audit Report
Nepal Netra Jyoti Sangh,Five Years Achievement Report 2014-2018,http://raptieyehospital.org/wp-content/uploads/2019/02/Presentation-of-Activity-Report-2014-2018.pdf,Achievement Report
Nepal Netra Jyoti Sangh,Target Vs Achievement of 2016,http://raptieyehospital.org/wp-content/uploads/2017/07/Target-Vs-Achievement-2016..pdf,Achievement Report
Nepal Netra Jyoti Sangh,Target Vs Achievement of 2017,http://raptieyehospital.org/wp-content/uploads/2017/07/Target-Vs-Achievement-2017.-1.pdf,Achievement Report
Nepal Netra Jyoti Sangh,Target Vs Achievement of 2018,http://raptieyehospital.org/wp-content/uploads/2017/07/Target-Vs-Achievement-2018....pdf,Achievement Report
Nepal Netra Jyoti Sangh,Target Vs Achievement of 2019,http://raptieyehospital.org/wp-content/uploads/2017/07/Target-Vs-Achievement-2019-Jan-Dec-2019.pdf,Achievement Report
Nepal Netra Jyoti Sangh,Target Vs Achievement of 2020,http://raptieyehospital.org/wp-content/uploads/2017/07/Target-Vs-Achievement-2020-final-copy.pdf,Achievement Report
Nepal Netra Jyoti Sangh,Annual Report 2016,http://raptieyehospital.org/wp-content/uploads/2017/07/16-REPORT-OF-2016..-1.pdf,Annual Report
Nepal Netra Jyoti Sangh, Annual Report 2017,http://raptieyehospital.org/wp-content/uploads/2017/07/18-REPORT-OF-2017...pdf,Annual Report
Nepal Netra Jyoti Sangh,Annual Report 2018,http://raptieyehospital.org/wp-content/uploads/2017/07/Annual-Report-of-2018.pdf,Annual Report
Nepal Netra Jyoti Sangh,Annual Report 2019,http://raptieyehospital.org/wp-content/uploads/2017/07/Annual-Report-of-2019-Eye-Health-Program-Rapti-Bahadurgunj..pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 1992,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-1992.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 1993,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-1993.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 1994,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-1994.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2006,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2006.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2007,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2007.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2008,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2008.pdf,Annual Report
